epoch,train_loss,train_acc,val_loss,auc,eer,apcer,bpcer,acer,lr
0,0.6313,0.7190,0.5630,0.9026,0.1708,0.1604,0.1705,0.1655,1.50e-05
1,0.5115,0.8440,0.5388,0.9155,0.1354,0.1390,0.1318,0.1354,3.00e-05
2,0.4145,0.9225,0.4797,0.9612,0.0801,0.0775,0.0465,0.0620,3.00e-05
3,0.4029,0.9316,0.4637,0.9654,0.0579,0.0615,0.0543,0.0579,2.98e-05
4,0.3842,0.9418,0.4905,0.9561,0.0592,0.0642,0.0543,0.0592,2.91e-05
5,0.3731,0.9509,0.4722,0.9746,0.0604,0.0695,0.0233,0.0464,2.80e-05
6,0.3543,0.9626,0.5425,0.9623,0.0868,0.0963,0.0233,0.0598,2.65e-05
7,0.3500,0.9626,0.5997,0.9878,0.0618,0.0695,0.0233,0.0464,2.46e-05
8,0.3267,0.9744,0.5803,0.9707,0.0854,0.1203,0.0310,0.0757,2.25e-05
9,0.3119,0.9808,0.5185,0.9659,0.0670,0.0642,0.0543,0.0592,2.01e-05
10,0.3154,0.9813,0.5773,0.9209,0.0854,0.0936,0.0698,0.0817,1.76e-05
